"subjID" "choice" "RT" "altrep" "condition" "area"
"sub01" 2 1.1753 "2" "C" "AC"
"sub01" 2 0.7868 "1" "C" "AC"
"sub01" 2 0.5851 "2" "C" "AC"
"sub01" 2 0.4649 "1" "C" "AC"
"sub01" 2 0.5628 "2" "C" "AC"
"sub01" 2 0.8958 "2" "C" "AC"
"sub01" 2 0.8526 "2" "C" "AC"
"sub01" 2 0.7612 "1" "C" "AC"
"sub01" 2 0.8644 "1" "C" "AC"
"sub01" 2 0.8401 "2" "C" "AC"
"sub01" 2 0.8587 "2" "C" "AC"
"sub01" 2 0.5726 "2" "C" "AC"
"sub01" 2 1.4868 "2" "C" "AC"
"sub01" 2 0.5987 "2" "C" "AC"
"sub01" 2 0.8297 "2" "C" "AC"
"sub01" 2 0.4174 "2" "C" "AC"
"sub01" 2 0.8006 "1" "C" "AC"
"sub01" 2 1.3611 "2" "C" "AC"
"sub01" 2 0.6091 "2" "C" "AC"
"sub01" 2 0.9698 "1" "C" "AC"
"sub01" 2 0.4049 "1" "C" "AC"
"sub01" 2 0.4807 "2" "C" "AC"
"sub01" 2 1.2341 "2" "C" "AC"
"sub01" 2 0.6279 "1" "C" "AC"
"sub01" 2 0.5901 "2" "C" "AC"
"sub01" 2 1.1006 "1" "C" "AC"
"sub01" 2 0.4424 "2" "C" "AC"
"sub01" 2 0.8747 "1" "C" "AC"
"sub01" 2 0.9533 "2" "C" "AC"
"sub01" 2 0.5283 "2" "C" "AC"
"sub01" 2 0.6382 "1" "C" "AC"
"sub01" 2 0.5945 "2" "C" "AC"
"sub01" 2 0.6978 "2" "C" "AC"
"sub01" 2 0.4438 "2" "C" "AC"
"sub01" 2 0.5108 "2" "C" "AC"
"sub01" 2 0.4353 "1" "C" "AC"
"sub01" 2 1.1266 "1" "C" "AC"
"sub01" 2 0.5505 "2" "C" "AC"
"sub01" 2 0.9876 "2" "C" "AC"
"sub01" 2 0.9886 "2" "C" "AC"
"sub01" 2 0.6055 "1" "C" "AC"
"sub01" 2 0.8634 "2" "C" "AC"
"sub01" 2 0.4882 "1" "C" "AC"
"sub01" 2 0.4113 "2" "C" "AC"
"sub01" 2 0.9694 "2" "C" "AC"
"sub01" 2 0.5379 "1" "C" "AC"
"sub01" 2 0.6488 "2" "S" "AC"
"sub01" 2 0.5827 "2" "S" "AC"
"sub01" 2 0.4436 "1" "S" "AC"
"sub01" 2 0.8198 "2" "S" "AC"
"sub01" 2 0.6661 "1" "S" "AC"
"sub01" 2 0.7683 "2" "S" "AC"
"sub01" 2 0.6397 "1" "S" "AC"
"sub01" 2 0.6154 "1" "S" "AC"
"sub01" 2 0.675 "1" "S" "AC"
"sub01" 2 0.5419 "2" "S" "AC"
"sub01" 2 0.5549 "1" "S" "AC"
"sub01" 2 0.7601 "2" "S" "AC"
"sub01" 2 0.8992 "2" "S" "AC"
"sub01" 2 0.502 "2" "S" "AC"
"sub01" 2 0.9365 "1" "S" "AC"
"sub01" 2 0.7275 "1" "S" "AC"
"sub01" 2 0.6989 "1" "S" "AC"
"sub01" 2 0.6579 "1" "S" "AC"
"sub01" 2 0.434 "2" "S" "AC"
"sub01" 2 0.6715 "2" "S" "AC"
"sub01" 2 0.6598 "2" "S" "AC"
"sub01" 2 0.6455 "1" "S" "AC"
"sub01" 2 0.7141 "2" "S" "AC"
"sub01" 2 1.0737 "2" "S" "AC"
"sub01" 2 0.6432 "1" "S" "AC"
"sub01" 2 1.3062 "2" "S" "AC"
"sub01" 2 1.0237 "2" "S" "AC"
"sub01" 2 0.4769 "2" "S" "AC"
"sub01" 2 1.1334 "1" "S" "AC"
"sub01" 2 0.7063 "2" "S" "AC"
"sub01" 2 0.6871 "2" "S" "AC"
"sub01" 2 0.4217 "2" "S" "AC"
"sub01" 2 1.231 "2" "S" "AC"
"sub01" 2 0.7809 "2" "S" "AC"
"sub01" 2 0.9956 "2" "S" "AC"
"sub01" 2 1.2313 "1" "S" "AC"
"sub01" 2 0.4526 "2" "S" "AC"
"sub01" 2 1.263 "2" "S" "AC"
"sub01" 2 0.996 "1" "S" "AC"
"sub01" 2 0.5446 "2" "S" "AC"
"sub01" 2 0.9186 "2" "S" "AC"
"sub01" 2 0.6491 "1" "S" "AC"
"sub01" 2 1.0247 "2" "S" "AC"
"sub01" 2 1.4482 "2" "S" "AC"
"sub01" 2 0.7487 "1" "S" "AC"
"sub01" 2 1.7637 "2" "S" "AC"
"sub01" 2 1.6393 "1" "S" "AC"
"sub01" 2 0.472 "2" "S" "AC"
"sub01" 2 1.1663 "1" "S" "AC"
"sub01" 2 1.0067 "2" "S" "AC"
"sub01" 2 0.9626 "2" "S" "AC"
"sub01" 2 1.0391 "2" "S" "AC"
"sub01" 2 0.6948 "1" "S" "AC"
"sub01" 2 1.2734 "2" "S" "AC"
"sub01" 2 0.8741 "1" "S" "AC"
"sub01" 2 0.8952 "2" "S" "AC"
"sub01" 2 1.2273 "1" "S" "AC"
"sub01" 2 0.9359 "1" "S" "AC"
"sub01" 2 1.1115 "2" "S" "AC"
"sub01" 2 0.6354 "2" "S" "AC"
"sub01" 2 1.2102 "2" "S" "AC"
"sub01" 2 1.4766 "2" "S" "AC"
"sub01" 2 1.3735 "1" "S" "AC"
"sub01" 2 0.9151 "2" "S" "AC"
"sub01" 2 1.0497 "1" "S" "AC"
"sub01" 2 0.6274 "2" "S" "AC"
"sub01" 1 0.9794 "2" "S" "AC"
"sub01" 2 1.2449 "1" "S" "AC"
"sub01" 2 0.7345 "1" "S" "AC"
"sub01" 2 1.5209 "2" "S" "AC"
"sub01" 2 1.0546 "2" "S" "AC"
"sub01" 2 1.2008 "1" "S" "AC"
"sub01" 2 0.5767 "2" "S" "AC"
"sub01" 2 0.5172 "2" "S" "AC"
