"subjID" "choice" "RT"
"sub04" 2 1.2559
"sub04" 2 1.4051
"sub04" 2 0.777
"sub04" 2 1.4396
"sub04" 2 0.5679
"sub04" 1 0.8549
"sub04" 2 1.9896
"sub04" 2 0.5759
"sub04" 2 0.6969
"sub04" 2 1.6486
"sub04" 2 1.189
"sub04" 2 1.2602
"sub04" 1 0.5344
"sub04" 2 0.9861
"sub04" 2 0.7417
"sub04" 2 1.3047
"sub04" 2 1.6552
"sub04" 2 1.1068
"sub04" 2 1.8216
"sub04" 2 0.9025
"sub04" 2 0.8099
"sub04" 2 1.317
"sub04" 2 1.0568
"sub04" 2 0.5891
"sub04" 2 0.8233
"sub04" 2 1.5613
"sub04" 2 1.0797
"sub04" 2 0.5208
"sub04" 2 0.8695
"sub04" 2 1.1701
"sub04" 2 0.563
"sub04" 2 0.8007
"sub04" 2 1.0217
"sub04" 1 0.8101
"sub04" 2 0.822
"sub04" 1 1.0313
"sub04" 2 1.0312
"sub04" 2 0.9851
"sub04" 2 0.521
"sub04" 2 0.6585
"sub04" 2 0.5814
"sub04" 2 0.6077
"sub04" 2 0.8532
"sub04" 2 0.967
"sub04" 1 0.8777
"sub04" 2 0.6445
"sub04" 2 0.8005
"sub04" 2 1.3379
"sub04" 2 0.8263
"sub04" 2 1.0864
"sub04" 2 0.8746
"sub04" 2 1.1902
"sub04" 2 0.647
"sub04" 2 0.4277
"sub04" 2 0.9145
"sub04" 2 0.6313
"sub04" 2 0.725
"sub04" 2 1.1084
"sub04" 2 0.9066
"sub04" 2 0.9531
"sub04" 2 0.6801
"sub04" 2 0.6435
"sub04" 2 1.3498
"sub04" 2 0.7817
"sub04" 2 0.821
"sub04" 2 1.8899
"sub04" 2 0.906
"sub04" 2 1.2386
"sub04" 2 0.5653
"sub04" 2 1.2577
"sub04" 2 0.9545
"sub04" 2 0.9515
"sub04" 2 0.6778
"sub04" 2 0.7182
"sub05" 2 0.7424
"sub05" 2 0.7389
"sub05" 2 0.9456
"sub05" 2 0.7123
"sub05" 2 0.4714
"sub05" 2 0.5304
"sub05" 2 0.7155
"sub05" 2 0.9195
"sub05" 2 0.5097
"sub05" 2 0.7272
"sub05" 2 0.4901
"sub05" 2 0.5553
"sub05" 2 0.4685
"sub05" 2 0.4424
"sub05" 2 0.4273
"sub05" 2 0.6943
"sub05" 1 0.5291
"sub05" 2 0.7762
"sub05" 2 0.7041
"sub05" 2 0.5212
"sub05" 2 0.5971
"sub05" 2 0.4277
"sub05" 2 0.6733
"sub05" 2 0.4918
"sub05" 2 0.8204
"sub05" 2 0.6425
"sub05" 2 0.5041
"sub05" 2 0.3567
"sub05" 2 0.6313
"sub05" 2 0.6263
"sub05" 2 0.4351
"sub05" 2 0.4307
"sub05" 2 0.3737
"sub05" 2 0.3821
"sub05" 2 0.8005
"sub05" 2 0.4643
"sub05" 2 0.6397
"sub05" 1 0.5407
"sub05" 2 0.4699
"sub05" 2 0.6431
"sub05" 2 0.2752
"sub05" 2 0.3737
"sub05" 2 0.4589
"sub05" 2 0.5308
"sub05" 2 1.3005
"sub05" 2 0.3197
"sub05" 2 0.6748
"sub05" 2 0.4768
"sub05" 1 0.5618
"sub05" 2 0.5586
"sub05" 2 0.4866
"sub05" 2 0.4513
"sub05" 2 0.8693
"sub05" 2 0.6451
"sub05" 2 0.3815
"sub05" 2 0.7257
"sub05" 2 0.4757
"sub05" 2 0.5712
"sub05" 2 0.3759
"sub05" 2 0.3802
"sub05" 2 0.3888
"sub05" 2 0.3856
"sub05" 2 0.5193
"sub05" 2 0.4014
"sub05" 2 0.8276
"sub05" 1 0.6167
"sub07" 2 0.4489
"sub07" 2 0.662
"sub07" 2 0.8144
"sub07" 2 0.4263
"sub07" 2 0.7979
"sub07" 2 1.1848
"sub07" 2 0.9549
"sub07" 2 1.2404
"sub07" 2 1.0173
"sub07" 2 0.356
"sub07" 1 0.8381
"sub07" 2 0.8035
"sub07" 2 0.4619
"sub07" 2 0.9644
"sub07" 2 0.5103
"sub07" 2 0.5187
"sub07" 2 0.5989
"sub07" 2 1.0414
"sub07" 1 0.9915
"sub07" 2 0.6477
"sub07" 2 0.6552
"sub07" 2 0.472
"sub07" 1 0.5805
"sub07" 1 0.8524
"sub07" 2 0.7982
"sub07" 1 0.6757
"sub07" 2 0.3813
"sub07" 2 0.5194
"sub07" 2 0.3947
"sub07" 2 0.3918
"sub07" 2 1.0699
"sub07" 2 0.5064
"sub07" 2 0.739
"sub07" 2 0.6445
"sub07" 2 0.7927
"sub07" 2 0.6106
"sub07" 2 0.8666
"sub07" 2 0.4914
"sub07" 2 0.6116
"sub07" 2 0.4774
"sub07" 2 0.6211
"sub07" 2 1.1275
"sub07" 2 0.3961
"sub07" 2 1.1205
"sub07" 2 0.7704
"sub07" 2 0.4739
"sub07" 2 0.3909
"sub07" 2 0.4534
